Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,1,1,1,1,3,0,0
0,0.0000,0,0.0000,2,64.0000,0.0000,0.1000,0.0000,0.0,2,2,2,1,2,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,4,1,9,3,3,0,0
0,0.0000,0,0.0000,2,2.6667,0.0500,0.1400,0.0000,0.0,2,3,2,2,4,3,0,0
0,0.0000,0,0.0000,10,627.5000,0.0200,0.0500,0.0000,0.0,2,3,3,1,4,3,1,0
0,0.0000,0,0.0000,19,154.2167,0.0158,0.0246,0.0000,0.0,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.4,2,2,4,3,3,3,0,0
1,0.0000,0,0.0000,0,0.0000,0.2000,0.2000,0.0000,0.0,2,1,2,1,5,3,1,0
0,0.0000,0,0.0000,2,37.0000,0.0000,0.1000,0.0000,0.8,2,2,2,2,3,3,0,0
0,0.0000,0,0.0000,3,738.0000,0.0000,0.0222,0.0000,0.4,2,2,4,1,2,3,0,0
0,0.0000,0,0.0000,3,395.0000,0.0000,0.0667,0.0000,0.0,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,16,407.7500,0.0188,0.0258,0.0000,0.4,2,1,1,4,3,3,0,0
0,0.0000,0,0.0000,7,280.5000,0.0000,0.0286,0.0000,0.0,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,6,98.0000,0.0000,0.0667,0.0000,0.0,2,2,5,1,3,3,0,0
0,0.0000,0,0.0000,2,68.0000,0.0000,0.1000,0.0000,0.0,2,3,2,3,3,3,0,0
2,53.0000,0,0.0000,23,1668.2851,0.0083,0.0163,0.0000,0.0,2,1,1,9,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,1,1,4,3,3,0,0
0,0.0000,0,0.0000,13,334.9667,0.0000,0.0077,0.0000,0.0,2,1,1,1,4,3,1,0
0,0.0000,0,0.0000,2,32.0000,0.0000,0.1000,0.0000,0.0,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,20,2981.1667,0.0000,0.0100,0.0000,0.0,2,2,4,4,4,3,0,0
0,0.0000,0,0.0000,8,136.1667,0.0000,0.0083,0.0000,1.0,2,2,2,5,1,3,1,0
0,0.0000,0,0.0000,2,0.0000,0.2000,0.2000,0.0000,0.0,2,3,3,1,3,3,0,0
0,0.0000,0,0.0000,3,105.0000,0.0000,0.0333,0.0000,0.0,2,3,2,1,5,3,0,0
0,0.0000,0,0.0000,2,15.0000,0.0000,0.1000,0.0000,0.8,2,2,4,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,2,2,4,1,3,1,0
0,0.0000,0,0.0000,5,156.0000,0.0000,0.0400,0.0000,0.0,2,1,1,9,3,3,0,0
4,64.6000,0,0.0000,32,1135.4444,0.0029,0.0095,0.0000,0.0,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,4,76.0000,0.0500,0.1000,0.0000,0.0,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,4,63.0000,0.0000,0.0500,0.0000,0.2,2,2,6,1,3,3,0,0
1,6.0000,1,0.0000,45,1582.7500,0.0435,0.0508,54.1798,0.4,2,3,2,1,1,3,0,0
0,0.0000,0,0.0000,2,35.0000,0.0000,0.1000,0.0000,0.0,2,1,1,6,3,3,0,0
0,0.0000,0,0.0000,3,78.0000,0.0000,0.0667,0.0000,0.0,2,1,2,6,6,3,1,0
0,0.0000,0,0.0000,8,209.5000,0.0000,0.0250,0.0000,0.0,2,2,2,1,1,3,0,0
0,0.0000,0,0.0000,10,183.6667,0.0400,0.0800,0.0000,0.0,2,1,1,3,1,3,0,0
0,0.0000,0,0.0000,14,380.5000,0.0143,0.0286,0.0000,0.0,2,2,2,1,1,3,0,0
0,0.0000,0,0.0000,52,2086.2429,0.0154,0.0204,0.0000,0.0,2,2,2,7,1,3,0,0
0,0.0000,0,0.0000,8,388.0000,0.0250,0.0563,0.0000,0.0,2,3,2,1,4,3,1,0
2,18.0000,0,0.0000,5,298.0000,0.0000,0.0286,0.0000,0.8,2,2,2,8,4,3,0,0
0,0.0000,0,0.0000,7,63.0000,0.0286,0.0714,0.0000,0.6,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,9,482.0000,0.0000,0.0222,0.0000,0.0,2,2,5,1,6,3,0,0
1,9.0000,0,0.0000,46,4084.3939,0.0000,0.0018,0.0000,0.0,2,2,2,8,4,3,0,0
0,0.0000,0,0.0000,3,22.0000,0.0000,0.0667,0.0000,0.6,2,1,1,3,2,3,0,0
0,0.0000,0,0.0000,15,310.1667,0.0000,0.0067,0.0000,0.0,2,1,1,4,4,3,0,0
0,0.0000,0,0.0000,2,34.0000,0.0000,0.0500,0.0000,0.4,2,3,2,2,3,3,0,0
0,0.0000,0,0.0000,4,88.0000,0.0000,0.0500,0.0000,0.0,2,4,1,1,3,3,0,0
0,0.0000,0,0.0000,22,622.2500,0.0030,0.0061,0.0000,0.2,2,2,5,1,4,3,0,0
0,0.0000,0,0.0000,14,222.4000,0.0171,0.0571,0.0000,0.0,2,1,1,1,2,3,0,0
0,0.0000,0,0.0000,3,80.0000,0.0667,0.1333,0.0000,0.2,2,3,2,1,3,3,0,0
0,0.0000,0,0.0000,11,800.8333,0.0000,0.0036,0.0000,0.0,2,3,2,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.6,2,2,2,3,2,3,0,0
